"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"Reciprocal_filial_piety","0.18***",0.0537786994832724,3.33807274437586,0.000926722890443247,"***","Step 1","Social_competence",0.04,0.000766084670388258,"0.04***",385,NA,NA,NA,"d_with_outliers","**","***","Yes"
"Authoritarian_filial_piety","-0.06",0.0537521456351152,-1.08811184684475,0.27723356244866,"","Step 1","Social_competence",0.04,0.000766084670388258,"0.04***",385,NA,NA,NA,"d_with_outliers","","","No"
"(Intercept)","0.01",0.0508149483975326,0.112687430185549,0.91033802851449,"","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.09",0.0514351535697404,-1.73353423932292,0.0838140243968719,"","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.17**",0.0543559414257846,3.21419965447849,0.00142020484716624,"**","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","**","**","No"
"Authoritarian_filial_piety","-0.05",0.0540124245001928,-0.996284999076628,0.319747340541658,"","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.07",0.0518734335472887,1.29257186410756,0.196946635193493,"","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.01",0.0599343393681849,0.141579528053807,0.887487363261164,"","Step 2","Social_competence",0.05,0.00190463700752328,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Social_competence",NA,NA,NA,NA,"0.006",1.117,0.328,"d_with_outliers","","","No"
"(Intercept)","0",0.0507356878795911,-6.44640524802204e-15,0.999999999999995,"","Step 1","Relationship_initiation",0.02,0.0925156587504912,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.1*",0.0515056422619932,-2.01677298228346,0.0444202745710355,"*","Step 1","Relationship_initiation",0.02,0.0925156587504912,"0.02",385,NA,NA,NA,"d_with_outliers","","*","Yes"
"Reciprocal_filial_piety","0.07",0.054516818147123,1.26000108841412,0.208440184821956,"","Step 1","Relationship_initiation",0.02,0.0925156587504912,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Authoritarian_filial_piety","-0.01",0.0544898998444305,-0.228323450988529,0.819517286526681,"","Step 1","Relationship_initiation",0.02,0.0925156587504912,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"(Intercept)","0.01",0.050905609398194,0.151575075757534,0.879602741839639,"","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.08",0.0515269211034851,-1.49856920588597,0.134817857484359,"","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.06",0.0544529200550454,1.14961565901973,0.251027128683048,"","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Authoritarian_filial_piety","0",0.0541087902470401,-0.0896120415110961,0.928642851274927,"","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.13*",0.0519659830340332,2.55336086790904,0.0110596959650083,"*","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","*","*","No"
